iter	Passed	Remaining
398	201297	303207
399	201749	302624
400	202269	302143
401	202815	301700
402	203280	301138
403	203777	300621
404	204268	300097
405	204878	299749
406	205364	299216
407	205877	298723
408	206355	298181
409	206829	297632
410	207290	297065
411	208042	296914
412	208566	296436
413	208971	295790
414	209409	295192
415	209889	294652
416	210347	294082
417	210781	293480
418	211298	292994
419	211799	292485
420	212261	291922
421	212720	291356
422	213297	290952
423	213844	290506
424	214435	290118
425	214969	289653
426	215641	289374
427	216231	288981
428	216781	288536
429	217205	287924
430	217681	287379
431	218212	286908
432	218842	286567
433	219457	286204
434	220001	285748
435	220727	285527
436	221327	285142
437	221842	284647
438	222337	284126
439	222913	283707
440	223416	283196
441	224004	282792
442	224517	282294
443	224935	281675
444	225408	281127
445	225885	280584
446	226327	279998
447	226849	279511
448	227335	278979
449	227752	278363
450	228427	278063
451	228853	277459
452	229323	276908
453	229899	276487
454	230546	276148
455	231078	275672
456	231555	275130
457	231998	274548
458	232392	273909
459	232910	273416
460	233556	273073
461	234175	272697
462	234929	272477
463	235604	272164
464	236072	271610
465	236490	271000
466	236919	270402
467	237549	270034
468	237973	269432
469	238481	268925
470	238930	268353
471	239391	267794
472	239860	267244
473	240348	266715
474	240864	266218
475	241434	265781
476	242028	265368
477	242470	264790
478	242893	264191
479	243387	263669
480	243925	263195
481	244350	262600
482	244868	262105
483	245384	261608
484	245814	261019
485	246345	260537
486	246914	260096
487	247591	259768
488	248130	259293
489	248690	258841
490	249391	258533
491	249876	258002
492	250288	257395
493	250818	256911
494	251453	256533
495	251938	256002
496	252403	255450
497	252846	254877
498	253405	254420
499	253986	253986
500	254499	253483
501	254950	252918
502	255429	252383
503	256047	251983
504	256587	251506
505	257040	250945
506	257577	250464
507	258073	249945
508	258593	249448
509	259053	248894
510	259604	248428
511	260079	247888
512	260578	247371
513	261073	246851
514	261486	246253
515	261995	245747
516	262547	245281
517	262973	244697
518	263785	244471
519	264250	243923
520	264877	243524
521	265427	243053
522	265928	242539
523	266309	241914
524	266727	241324
525	267200	240785
526	267676	240248
527	268322	239863
528	268770	239302
529	269322	238833
530	269831	238325
531	270277	237762
532	270862	237322
533	271341	236788
534	271834	236267
535	272290	235713
536	272755	235168
537	273294	234687
538	273686	234080
539	274212	233588
540	274778	233130
541	275282	232618
542	275902	232205
543	276282	231589
544	276831	231116
545	277310	230584
546	277811	230070
547	278292	229540
548	278804	229035
549	279246	228474
550	279690	227915
551	280320	227506
552	280790	226967
553	281364	226513
554	281890	226020
555	282384	225501
556	282978	225061
557	283489	224556
558	283977	224032
559	284400	223457
560	284828	222886
561	285246	222309
562	285691	221753
563	286271	221301
564	286852	220851
565	287373	220353
566	287830	219806
567	288226	219214
568	288775	218738
569	289321	218260
570	289749	217693
571	290237	217170
572	290653	216594
573	291200	216117
574	291888	215743
575	292362	215211
576	292999	214798
577	293732	214454
578	294186	213907
579	294850	213512
580	295420	213048
581	295875	212501
582	296373	211985
583	296916	211501
584	297522	211062
585	297969	210510
586	298616	210100
587	299028	209523
588	299480	208975
589	299924	208421
590	300415	207901
591	300783	207296
592	301194	206722
593	301715	206223
594	302217	205711
595	302721	205200
596	303229	204692
597	303761	204200
598	304268	203691
599	304903	203268
600	305460	202793
601	306097	202369
602	306671	201904
603	307090	201337
604	307577	200815
605	308053	200285
606	308525	199753
607	309023	199238
608	309555	198745
609	310085	198251
610	310517	197694
611	311124	197248
612	311530	196676
613	311968	196123
614	312473	195613
615	313303	195305
616	313784	194780
617	314160	194189
618	314628	193656
619	315046	193093
620	315616	192622
621	316054	192071
622	316555	191559
623	317127	191089
624	317802	190681
625	318265	190145
626	318812	189660
627	319243	189106
628	319898	188683
629	320328	188129
630	320747	187568
631	321271	187069
632	321739	186537
633	322245	186028
634	322678	185476
635	323120	184930
636	323593	184402
637	324090	183888
638	324685	183429
639	325199	182924
640	325779	182456
641	326427	182026
642	326986	181546
643	327553	181070
644	328029	180543
645	328617	180078
646	329154	179585
647	329962	179238
648	330655	178829
649	331287	178385
650	331875	177917
651	332333	177380
652	332752	176822
653	333159	176258
654	333720	175776
655	334269	175287
656	334766	174771
657	335259	174253
658	335733	173725
659	336242	173215
660	336782	172722
661	337450	172293
662	337921	171763
663	338542	171310
664	339030	170789
665	339458	170238
666	339812	169651
667	340284	169123
668	340747	168590
669	341204	168055
670	341678	167529
671	342386	167117
672	342802	166562
673	343233	166015
674	343802	165534
675	344236	164988
676	344764	164488
677	345235	163961
678	345828	163492
679	346277	162954
680	346734	162420
681	347280	161928
682	347715	161384
683	348143	160838
684	348581	160296
685	349305	159886
686	349886	159409
687	350281	158848
688	350674	158286
689	351228	157798
690	351631	157241
691	352127	156727
692	352520	156167
693	352981	155637
694	353549	155154
695	354026	154632
696	354632	154165
697	355296	153724
698	355767	153198
699	356197	152656
700	356631	152115
701	357061	151572
702	357530	151047
703	357966	150508
704	358352	149948
705	358806	149417
706	359282	148896
707	359753	148373
708	360236	147854
709	360737	147343
710	361229	146828
711	361860	146370
712	362518	145922
713	363015	145409
714	363699	144971
715	364167	144446
716	364623	143916
717	365039	143371
718	365574	142874
719	366127	142383
720	366640	141875
721	367071	141337
722	367552	140819
723	367978	140279
724	368664	139838
725	369123	139310
726	369572	138780
727	370023	138250
728	370575	137758
729	371118	137263
730	371576	136736
731	372062	136219
732	372525	135694
733	373102	135211
734	373520	134670
735	374187	134219
736	374660	133698
737	375122	133173
738	375635	132666
739	376117	132149
740	376650	131649
741	377144	131136
742	377666	130632
743	378151	130116
744	378587	129583
745	379015	129048
746	379550	128549
747	379979	128014
748	380417	127482
749	380908	126969
750	381490	126486
751	382070	126002
752	382696	125532
753	383278	125048
754	383841	124557
755	384437	124077
756	384957	123572
757	385509	123078
758	386068	122585
759	386571	122075
760	387050	121557
761	387571	121052
762	388140	120562
763	388698	120069
764	389318	119594
765	389801	119077
766	390428	118604
767	390838	118065
768	391326	117550
769	391826	117039
770	392342	116532
771	393034	116077
772	393469	115546
773	393989	115040
774	394535	114542
775	395159	114066
776	395821	113601
777	396560	113157
778	397121	112662
779	397595	112142
780	398036	111613
781	398743	111158
782	399228	110641
783	399720	110126
784	400329	109644
785	401070	109197
786	401519	108670
787	401988	108149
788	402688	107689
789	403184	107175
790	403784	106688
791	404341	106190
792	405086	105741
793	405808	105285
794	406304	104770
795	406829	104262
796	407259	103731
797	407924	103259
798	408373	102732
799	408930	102232
800	409443	101721
801	409917	101201
802	410546	100719
803	411094	100217
804	411659	99718
805	412347	99249
806	412939	98757
807	413480	98252
808	414011	97745
809	414557	97241
810	415063	96728
811	415509	96201
812	415935	95670
813	416476	95165
814	416981	94652
815	417448	94130
816	417950	93616
817	418479	93109
818	419036	92607
819	419580	92102
820	419990	91569
821	420470	91050
822	420860	90513
823	421419	90011
824	421847	89482
825	422361	88971
826	422891	88464
827	423369	87946
828	423863	87431
829	424438	86933
830	424860	86403
831	425348	85887
832	425843	85373
833	426381	84867
834	426980	84373
835	427374	83838
836	427860	83322
837	428300	82797
838	428736	82272
839	429126	81738
840	429668	81233
841	430217	80729
842	430902	80251
843	431380	79733
844	431768	79200
845	432345	78701
846	432783	78176
847	433404	77685
848	434010	77191
849	434504	76677
850	434982	76160
851	435476	75646
852	435961	75130
853	436654	74650
854	437100	74128
855	437597	73614
856	438065	73096
857	438500	72572
858	438943	72050
859	439401	71530
860	439873	71013
861	440286	70486
862	440860	69985
863	441372	69475
864	441985	68980
865	442429	68459
866	442889	67940
867	443394	67428
868	443911	66918
869	444487	66417
870	444946	65899
871	445538	65400
872	446050	64889
873	446636	64389
874	447205	63886
875	447767	63382
876	448203	62860
877	448644	62340
878	449059	61815
879	449661	61317
880	450191	60809
881	450650	60291
882	451260	59793
883	451789	59284
884	452247	58766
885	452727	58251
886	453106	57723
887	453616	57212
888	454078	56695
889	454512	56175
890	455114	55676
891	455627	55165
892	456139	54655
893	456615	54140
894	456982	53612
895	457412	53092
896	457839	52572
897	458545	52084
898	458983	51565
899	459519	51057
900	459931	50536
901	460429	50024
902	460884	49508
903	461376	48995
904	462065	48504
905	462578	47993
906	462971	47471
907	463510	46963
908	464031	46454
909	464663	45955
910	465119	45439
911	465601	44926
912	466050	44410
913	466554	43898
914	467109	43392
915	467630	42883
916	468158	42374
917	468789	41874
918	469226	41357
919	469714	40844
920	470497	40357
921	471159	39859
922	471636	39345
923	472170	38836
924	472777	38333
925	473304	37823
926	473757	37307
927	474364	36804
928	474886	36293
929	475359	35779
930	475863	35268
931	476551	34769
932	477195	34268
933	477639	33751
934	478071	33234
935	478570	32722
936	479037	32208
937	479647	31703
938	480185	31194
939	480597	30676
940	481271	30175
941	481773	29663
942	482283	29151
943	483038	28654
944	483511	28140
945	484045	27630
946	484573	27119
947	485094	26608
948	485548	26093
949	486125	25585
950	486899	25087
951	487329	24571
952	487787	24056
953	488254	23542
954	488803	23032
955	489243	22517
956	489733	22004
957	490177	21490
958	490776	20982
959	491285	20470
960	491727	19955
961	492268	19445
962	492773	18933
963	493330	18423
964	493860	17912
965	494348	17399
966	494904	16889
967	495427	16377
968	495999	15867
969	496657	15360
970	497172	14848
971	497648	14335
972	498387	13829
973	498882	13317
974	499428	12805
975	499893	12292
976	500414	11780
977	500970	11269
978	501456	10756
979	501996	10244
980	502419	9730
981	502994	9219
982	503501	8707
983	504026	8195
984	504565	7683
985	505019	7170
986	505550	6658
987	505962	6145
988	506420	5632
989	507010	5121
990	507698	4610
991	508107	4097
992	508607	3585
993	509317	3074
994	509783	2561
995	510496	2050
996	510927	1537
997	511551	1025
998	511998	512
999	512446	0
