iter	RMSE
169	0.1771136775
170	0.1770293143
171	0.1768808867
172	0.1767745288
173	0.1766730852
174	0.1765386089
175	0.1764516373
176	0.1763544981
177	0.1762639284
178	0.1761597839
179	0.176076465
180	0.1759991941
181	0.1759075443
182	0.1757902118
183	0.1757219674
184	0.1756311967
185	0.1755300392
186	0.175414413
187	0.1753143134
188	0.1752003579
189	0.175108449
190	0.1750098406
191	0.1749185066
192	0.1748400418
193	0.1747672377
194	0.1746837589
195	0.174679135
196	0.1745969314
197	0.1744868696
198	0.1743951304
199	0.1743131917
200	0.1742316875
201	0.1741558608
202	0.1740744288
203	0.1740185153
204	0.1739397989
205	0.1738971847
206	0.1738133982
207	0.1737461353
208	0.1736482409
209	0.1735729242
210	0.1734987462
211	0.173435145
212	0.1733660619
213	0.1733147891
214	0.1732372438
215	0.1731420506
216	0.1730813982
217	0.173023914
218	0.1729727302
219	0.1728901273
220	0.1728263443
221	0.1727474081
222	0.1726690105
223	0.1725799092
224	0.1725328693
225	0.172439121
226	0.1723847291
227	0.1722998538
228	0.1722184996
229	0.172135575
230	0.1720743773
231	0.1719988197
232	0.1719100448
233	0.1718320096
234	0.1717611184
235	0.1717121715
236	0.1716390604
237	0.1715533644
238	0.1715157765
239	0.171440772
240	0.171392675
241	0.1713424272
242	0.1712592195
243	0.1712026403
244	0.171159392
245	0.1710911075
246	0.171020017
247	0.1709635726
248	0.1708976259
249	0.1708229694
250	0.1707723253
251	0.170710164
252	0.1706778719
253	0.1705889333
254	0.1705360097
255	0.1705017553
256	0.1704604152
257	0.1704151164
258	0.1703699449
259	0.1703385727
260	0.1702661215
261	0.1702046156
262	0.1701598895
263	0.170103107
264	0.1700352947
265	0.1699597415
266	0.1699063438
267	0.1698806017
268	0.1698081355
269	0.1697546813
270	0.1696674967
271	0.1695870786
272	0.1695218211
273	0.1694640627
274	0.1694020203
275	0.1693631055
276	0.1693317306
277	0.169269649
278	0.1692189813
279	0.1691613932
280	0.1691106949
281	0.1690736419
282	0.1690241846
283	0.1689854657
284	0.168954952
285	0.1689152353
286	0.168855611
287	0.1688063323
288	0.1687551295
289	0.1687180589
290	0.1686638595
291	0.1685875564
292	0.1685251269
293	0.1684563061
294	0.1684036185
295	0.1683467484
296	0.1683166469
297	0.1682863034
298	0.1682337959
299	0.1682030054
300	0.1681347184
301	0.1680812602
302	0.1680471349
303	0.1679847598
304	0.167905831
305	0.1678634523
306	0.1678142524
307	0.1677698277
308	0.1677264151
309	0.167692141
310	0.1676560427
311	0.1675852828
312	0.1675408564
313	0.1674976864
314	0.167452102
315	0.1673955497
316	0.1673311126
317	0.1673000136
318	0.167272755
319	0.167235329
320	0.1672070956
321	0.1671682174
322	0.167122939
323	0.1671019553
324	0.1670732962
325	0.1670322665
326	0.1669759924
327	0.1669356602
328	0.1668851796
329	0.1668401948
330	0.1668142945
331	0.1667681631
332	0.1667369692
333	0.1666869821
334	0.16664533
335	0.1666079828
336	0.1665798271
337	0.1665435436
338	0.1665061534
339	0.1664591734
340	0.1664124113
341	0.1663917529
342	0.1663470944
343	0.1663006452
344	0.1662553458
345	0.1662118241
346	0.1661562492
347	0.1661240345
348	0.1660850356
349	0.1660417067
350	0.165997914
351	0.1659603994
352	0.1659331976
353	0.1658877326
354	0.165858081
355	0.1657952046
356	0.1657698859
357	0.1657026851
358	0.1656710222
359	0.1656312131
360	0.1656008974
361	0.1655656611
362	0.1655389502
363	0.1654973507
364	0.1654594459
365	0.165421398
366	0.1653893689
367	0.1653746917
368	0.1653311992
369	0.165279615
370	0.1652662976
371	0.1652401985
372	0.165238857
373	0.1652126226
374	0.1651715965
375	0.1651336754
376	0.1650861817
377	0.1650849114
378	0.1650405795
379	0.1649981957
380	0.1649656223
381	0.1649384688
382	0.1648776315
383	0.1648412993
384	0.1648160981
385	0.1647864645
386	0.1647673994
387	0.1647427192
388	0.1647022174
389	0.1646819267
390	0.1646641561
391	0.1646350618
392	0.1646032413
393	0.1645793235
394	0.1645532142
395	0.1645203423
396	0.1644899354
397	0.1644559273
398	0.1644123981
399	0.164369136
400	0.164342647
401	0.1643097657
402	0.164278524
403	0.1642368327
404	0.1642228201
405	0.1641922454
406	0.1641704227
407	0.1641359068
408	0.1641067088
409	0.1640538231
410	0.1640213549
411	0.1639862428
412	0.1639516307
413	0.163923109
414	0.1639003733
415	0.1638758177
416	0.1638464483
417	0.1638151656
418	0.1637798484
419	0.1637496637
420	0.1637216306
421	0.1636976951
422	0.1636660047
423	0.1636362646
424	0.1636116056
425	0.1635810665
426	0.163559349
427	0.1635420932
428	0.1635242292
429	0.163484979
430	0.163461676
431	0.163450711
432	0.1634365577
433	0.1633925579
434	0.1633698908
435	0.1633368494
436	0.1633184275
437	0.1632974211
438	0.163268581
439	0.1632280484
440	0.1631949724
441	0.1631696914
442	0.1631381165
443	0.1631158563
444	0.1630954503
445	0.1630627535
446	0.1630313714
447	0.1630250808
448	0.1629966707
449	0.162979097
450	0.1629575508
451	0.1629365004
452	0.1629160433
453	0.1628886351
454	0.1628647355
455	0.1628381367
456	0.162808172
457	0.1627789778
458	0.1627320168
459	0.1626878769
460	0.1626322691
461	0.162612753
462	0.162579661
463	0.1625419321
464	0.1625176904
465	0.1624864551
466	0.1624523398
467	0.1624324437
468	0.1624082169
469	0.1623786368
470	0.1623453462
471	0.1623216999
472	0.1622970521
473	0.1622608734
474	0.1622218535
475	0.1621850846
476	0.1621287077
477	0.1620959072
478	0.1620669376
479	0.1620424679
480	0.1620133376
481	0.1619875935
482	0.161965771
483	0.1619454158
484	0.1619099413
485	0.1618789064
486	0.1618526665
487	0.161836266
488	0.1618201952
489	0.1618171168
490	0.1617785499
491	0.1617384941
492	0.161701792
493	0.1616779395
494	0.1616513182
495	0.1616224375
496	0.1615936722
497	0.1615724065
498	0.1615402289
499	0.1615222107
500	0.1614958499
501	0.1614727216
502	0.161446382
503	0.1614269647
504	0.1614167988
505	0.1613952475
506	0.1613656
507	0.1613204135
508	0.1612985414
509	0.1612846614
510	0.1612269089
511	0.1612250404
512	0.1612038399
513	0.1611753246
514	0.1611578226
515	0.1611485862
516	0.1611139829
517	0.1610933066
518	0.1610693531
519	0.1610189647
520	0.1610000648
521	0.1609848426
522	0.1609741434
523	0.1609552704
524	0.1609529951
525	0.1609184749
526	0.1608991005
527	0.1608746885
528	0.160854908
529	0.1608336937
530	0.1608088982
531	0.1607823413
532	0.1607455249
533	0.160714274
534	0.1606940249
535	0.1606652501
536	0.1606231415
537	0.1605947501
538	0.1605744353
539	0.1605571536
540	0.1605299703
541	0.1605123105
542	0.1605040401
543	0.1604923224
544	0.160468076
545	0.1604378309
546	0.1604156402
547	0.1603988438
548	0.1603754423
549	0.1603506218
550	0.1603252658
551	0.1602955213
552	0.1602673935
553	0.1602297959
554	0.1602189011
555	0.1601889397
556	0.1601613985
557	0.1601428657
558	0.1601226118
559	0.1601024983
560	0.1600792729
561	0.1600570923
562	0.1600356642
563	0.1600007449
564	0.1599737113
565	0.1599485456
566	0.1599265974
567	0.1599054096
568	0.159877563
569	0.1598498875
570	0.1598134828
571	0.1597868817
572	0.1597641452
573	0.159745116
574	0.1597241205
575	0.1597181083
576	0.1597013316
577	0.1596863152
578	0.1596640197
579	0.1596338172
580	0.1596141056
581	0.1595837369
582	0.1595669095
583	0.1595439422
584	0.1595180772
585	0.1595060654
586	0.1594919061
587	0.1594816792
588	0.1594582779
589	0.1594526977
590	0.1594334232
591	0.1594208153
592	0.1594050111
593	0.1593735207
594	0.1593443419
595	0.1593176699
596	0.1592960372
597	0.1592645203
598	0.1592427434
599	0.1592190925
600	0.159205707
601	0.1591982759
602	0.1591832166
603	0.1591611115
604	0.1591276006
605	0.1591034744
606	0.159082916
607	0.1590715855
608	0.1590545511
609	0.1590378948
610	0.1590103861
611	0.1589895717
612	0.1589774797
613	0.1589574112
614	0.1589316089
615	0.1589191575
616	0.1589021374
617	0.1588816699
618	0.1588492551
619	0.1588293372
620	0.1587978279
621	0.1587921458
622	0.15877535
623	0.1587545487
624	0.1587369674
625	0.1586972094
626	0.1586864828
627	0.1586684685
628	0.1586631536
629	0.1586581502
630	0.1586322724
631	0.1586259198
632	0.1586133884
633	0.1586034602
634	0.1585894662
635	0.1585660126
636	0.1585509157
637	0.158523886
638	0.1584986738
639	0.1584731715
640	0.1584704092
641	0.1584561821
642	0.1584372626
643	0.1584055424
644	0.1583961045
645	0.1583877043
646	0.1583662698
647	0.1583460008
648	0.1583260987
649	0.1582908147
650	0.1582832075
651	0.1582681418
652	0.1582556837
653	0.1582302862
654	0.1581999301
655	0.1581813773
656	0.1581782618
657	0.1581657597
658	0.1581466452
659	0.158122331
660	0.1581097037
661	0.1580874907
662	0.158063366
663	0.1580331157
664	0.1580157492
665	0.157993081
666	0.1579718678
667	0.1579539212
668	0.1579300684
669	0.157916349
670	0.1578896587
671	0.1578653167
672	0.1578362612
673	0.1578248605
674	0.1578130765
675	0.1577974441
676	0.1577791316
677	0.1577652559
678	0.1577483696
679	0.1577276653
680	0.1577094121
681	0.1576920922
682	0.1576701353
683	0.1576627985
684	0.1576561782
685	0.1576370387
686	0.157617872
687	0.1576027488
688	0.1575917709
689	0.1575723497
690	0.1575608483
691	0.1575419201
692	0.1575216351
693	0.1575017426
694	0.1574851441
695	0.1574668587
696	0.1574456768
697	0.1574379855
698	0.1574103504
699	0.1573888316
700	0.1573775784
701	0.1573625504
702	0.1573488171
703	0.1573358648
704	0.1573267032
705	0.1572987468
706	0.1572739748
707	0.1572639034
708	0.1572379639
709	0.1572231458
710	0.1572166116
711	0.1571820996
712	0.1571680639
713	0.1571538624
714	0.1571347242
715	0.1571201047
716	0.1570952853
717	0.1570849388
718	0.1570690173
719	0.1570470727
720	0.1570262611
721	0.1570078331
722	0.1569946925
723	0.1569745111
724	0.1569532037
725	0.1569324694
726	0.1569185218
727	0.1569022911
728	0.156886151
729	0.156870859
730	0.1568580917
731	0.1568475284
732	0.1568271856
733	0.1568107518
734	0.1567894567
735	0.1567655343
736	0.1567291203
737	0.1567125966
738	0.1567006984
739	0.156693187
740	0.1566687936
741	0.1566461861
742	0.1566259558
743	0.1566042341
744	0.1565855755
745	0.1565666886
746	0.1565450568
747	0.1565305753
748	0.1565183714
749	0.1564981939
750	0.1564928043
751	0.156480238
752	0.1564664299
753	0.1564377687
754	0.1564197002
755	0.1564082959
756	0.1563908431
757	0.1563793375
758	0.1563622949
759	0.1563395676
760	0.1563300394
761	0.1563139179
762	0.1563113325
763	0.1563036153
764	0.1562958461
765	0.1562609352
766	0.1562273122
767	0.1562060948
768	0.1561825866
769	0.156171304
770	0.1561650551
771	0.1561504836
772	0.1561417603
773	0.1561279186
774	0.1561151165
775	0.1561073262
776	0.1561014011
777	0.156084742
778	0.1560721077
779	0.1560617839
780	0.1560484174
781	0.1560319659
782	0.1560232682
783	0.1560037421
784	0.1559895798
785	0.1559780049
786	0.1559652691
787	0.1559260207
788	0.1559088696
789	0.1559017142
790	0.1558778434
791	0.1558539094
792	0.1558360355
793	0.1558159101
794	0.1558031535
795	0.1557972607
796	0.155781106
797	0.1557631968
798	0.1557584208
799	0.1557460887
800	0.1557333158
801	0.1557251092
802	0.1557178055
803	0.1557046345
804	0.1556956609
805	0.155684493
806	0.1556642563
807	0.1556543495
808	0.1556392747
809	0.1556283766
810	0.1556190984
811	0.1555956942
812	0.1555642712
813	0.1555546564
814	0.1555373856
815	0.1555294683
816	0.1555098493
817	0.155497113
818	0.1554839535
819	0.1554624307
820	0.1554469991
821	0.1554316624
822	0.1554222062
823	0.1554109642
824	0.1553975185
825	0.1553756537
826	0.1553631783
827	0.1553559029
828	0.1553356109
829	0.1553201144
830	0.1553122956
831	0.1552914285
832	0.1552717312
833	0.1552604816
834	0.1552460563
835	0.1552317098
836	0.1552142366
837	0.1551944965
838	0.15518988
839	0.155176696
840	0.1551673275
841	0.1551589404
842	0.155152686
843	0.1551424665
844	0.1551280487
845	0.1551125256
846	0.1550876734
847	0.1550693907
848	0.1550553224
849	0.1550491595
850	0.1550391847
851	0.155035036
852	0.1550191946
853	0.1550002557
854	0.1549921523
855	0.1549736558
856	0.1549489486
857	0.1549354248
858	0.1549342541
859	0.1549169746
860	0.1549094294
861	0.1548861981
862	0.1548737453
863	0.1548597043
864	0.1548462931
865	0.1548310092
866	0.1548184856
867	0.1548076376
868	0.1548017785
869	0.1547911451
870	0.1547786189
871	0.1547570054
872	0.1547469549
873	0.1547354465
874	0.154720868
875	0.1547032394
876	0.1546916729
877	0.1546843107
878	0.1546678732
879	0.1546581755
880	0.1546405849
881	0.1546323231
882	0.1546134527
883	0.1545929005
884	0.1545782276
885	0.154571362
886	0.1545691004
887	0.1545492172
888	0.1545431
889	0.1545343046
890	0.1545244664
891	0.1545087435
892	0.1545036057
893	0.1544906772
894	0.1544855955
895	0.1544698755
896	0.1544626712
897	0.1544462403
898	0.154439803
899	0.1544080844
900	0.1544012133
901	0.1543949367
902	0.1543819949
903	0.1543717028
904	0.154351764
905	0.1543428123
906	0.1543263034
907	0.1543117321
908	0.1543041295
909	0.1542929791
910	0.1542800899
911	0.1542667327
912	0.1542619355
913	0.1542594578
914	0.1542505053
915	0.1542421585
916	0.1542307223
917	0.1542181508
918	0.1542105249
919	0.1541932112
920	0.1541698241
921	0.1541553754
922	0.1541338403
923	0.1541190926
924	0.1541022045
925	0.1540880322
926	0.15407729
927	0.1540683922
928	0.1540594148
929	0.15405065
930	0.1540393783
931	0.1540274935
932	0.1540154596
933	0.1539859876
934	0.1539591876
935	0.1539487366
936	0.1539396643
937	0.1539351499
938	0.1539254751
939	0.1539132944
940	0.153890349
941	0.1538814333
942	0.1538625935
943	0.1538485548
944	0.1538353293
945	0.1538212553
946	0.1538123576
947	0.15379526
948	0.1537791621
949	0.1537645373
950	0.1537541987
951	0.1537460345
952	0.153737756
953	0.1537354188
954	0.1537284429
955	0.1537160858
956	0.1536992783
957	0.1536876069
958	0.1536830161
959	0.1536746151
960	0.1536651634
961	0.1536499178
962	0.1536428491
963	0.1536320641
964	0.1536249134
965	0.1536141302
966	0.1535989883
967	0.1535855174
968	0.1535755462
969	0.1535660011
970	0.1535538232
971	0.1535474399
972	0.1535338776
973	0.1535276076
974	0.1535147075
975	0.1535076906
976	0.1534932767
977	0.1534838884
978	0.1534706431
979	0.1534454676
980	0.1534368073
981	0.1534240037
982	0.1534219569
983	0.1534117019
984	0.1534019654
985	0.153400634
986	0.153393321
987	0.1533758975
988	0.1533670677
989	0.1533584539
990	0.1533391096
991	0.1533266762
992	0.1533083156
993	0.1532998871
994	0.1532887001
995	0.1532763395
996	0.1532604102
997	0.1532503386
998	0.1532365935
999	0.1532309484
